Time,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
03-Jan-2020,-45.2031949614974,-28.9711870191807,-23.8949058571097,-27.4585645470559,-21.9901506565129,-15.4838218610248,-9.69590087388199,-22.4946194646227,-10.5965094100564,-24.6407245689434,-32.5377878813755,-23.9187622801909,-18.4902316495632,-25.2956279492427,-23.8025661885453,-3.3622141613287,-12.5505518402484,-25.0779188468373,-28.994916564549,3.77115670652909,-13.3334541450783,-7.82475253799435,-23.3548837387256,-9.24472206936155,-36.0231630214176,-13.0810817048424,-14.9202990330006,-15.2691560902788,-24.4230035986287,-5.29478161480875,-15.3018384273804,-18.3808366686648,-12.6488600119927,-15.4609147179731,-0.0377028450716919,-20.9408179159368,-22.2077560662225,-16.9932268132061,-8.07394347927073,-6.46887828412328,-23.2929059402011,-4.9921054040652,-24.5409022554845,-26.6776911033169,-17.0523171664338,1.02876056984957,-23.4660908677838,-20.7021385790408,-14.6156836879828,-5.22228301435024,-12.3531008373832
04-Jan-2020,-7.57411051727365,-5.3731073711404,-4.47764175085497,-3.99801787732184,-7.3229199815805,-3.76173659780259,-5.17987110007231,-6.1072681580592,-1.28118713006639,-9.14601003041978,-5.36749731826098,-8.42042514074157,-4.29347632574148,-3.02474147940739,-4.88215041884413,2.99484876549389,1.14755666004034,-5.50864125442111,-5.55187655262482,-7.62638935752602,-7.06765754173626,-6.40795681780758,1.28444423729638,1.85791693798717,-4.41747404357318,-0.426803670851201,-5.8806724519905,-2.42356150088465,-7.02521499610832,-8.26136879685336,-7.0641610943877,-5.41812249655838,-6.53816261825057,-9.36780740565245,-0.673514632667108,-5.04223331402694,-4.59994135868225,-6.09948254846503,-3.67524888061747,-6.78164732482362,-7.57210985508233,0.736191020022648,-6.01993908040018,-8.62116054523345,-8.69509935395742,-8.26792349250089,-7.57958190259881,-7.72191797524718,-7.0447630734945,-1.48213782593668,-6.99978405834092
05-Jan-2020,-0.642945802478542,-6.30110944089691,-5.94451336842908,-1.17158782240072,-3.8813712790678,-3.34875356522383,-7.81353751967334,-8.84765948151317,-4.31609322946919,-4.29646954656904,-3.98199080603335,-3.95112889729813,-5.39180964012268,-2.34359808606074,-0.169771272723229,0.45813436004038,-3.6538165862376,-3.82391137532232,0.0201998793751233,-2.35276301210272,-8.00653036305447,-5.02115819341408,-3.18044078641196,-3.19295269083418,-3.16359228576952,-3.43970273367896,-3.81748047956304,-2.3282635094179,-5.24101202851495,-4.16001920963383,-8.76240454875838,-3.05093516232212,-7.6459121289421,-5.26080347544721,-4.88914516808731,-5.42658860480468,-5.03529939039424,-8.07744810326803,-5.50864785106179,-3.54787171825568,-2.99265322657024,-4.67653099905678,-4.80116584799851,-4.13154104121516,-8.96472552562309,-1.08974148687453,-5.65425871512789,-8.24285098721007,-5.12144702947918,-0.618450581159122,0.968585891584983
06-Jan-2020,3.99878154133362,-2.60297194183987,1.65386363423561,0.8211624984213,1.53907160021128,-0.5699871511452,9.50666874918219,10.4554127023257,17.1167024603724,-2.54270322940168,2.58691098555035,0.327823837696081,8.49164493293141,5.1861408047129,6.41411997622218,13.4212649933249,6.27616363480064,8.87648522607465,0.501284630148609,8.61277510133393,14.0087805849392,12.0585347394964,6.90322848223931,7.70341484674035,-3.13386707397093,1.42387040419297,2.76207295589626,-4.13353271355678,2.30559099800548,5.34338019501166,7.44405800116377,-5.25343807274048,8.76848111893998,6.42630903695757,10.5017855413955,8.08208170738054,1.21481580840925,4.46739352934097,8.32235264423085,12.0978892112068,5.08769937498138,8.85427570985827,1.6941584335068,-6.02388559895187,14.8435902412888,6.5649863186784,12.2410265567833,12.642585081962,9.51064464898867,7.3093017306629,15.138768193052
07-Jan-2020,1.04890491666634,-8.17004400000804,-4.95919204521572,-0.643950545606769,-10.6038900173071,2.94605990712434,3.01630105580298,-3.07813239825914,-5.47273216906916,-3.66790832592013,-1.58338368541448,-9.16298920594721,-3.28041835933709,-5.47446521758884,-2.67108377617576,-3.37804629009543,-3.54533514011421,-6.69703742275477,-3.97320157520326,-2.32904858586756,-15.0129745824989,1.85038737790382,0.80988312529762,-0.946774847614632,-0.768204113972916,0.106654777920319,-4.56951227182779,-0.281559675644055,-4.61558691276714,5.20127208806027,-3.03170472763532,0.864162609471265,0.517918123209214,-2.87704379121871,-2.07003583797438,-1.35664683598891,-0.43401757231047,-3.9478014294597,-5.22337171526754,5.86262478736202,-0.821144934639853,-1.25129984534056,0.296821147487144,-5.87567237849602,-4.69999221473008,-0.47222234553576,-21.2363536599805,1.17574247620745,-27.6128116869811,-2.63871873408034,-1.14220359486655
08-Jan-2020,-5.14590018379111,-16.4831238153906,-8.34171314163484,2.27179284634129,-9.58541994085704,-2.49004508652628,-2.25019872269465,-2.29025479112566,-1.45321281923757,0.268323101661563,0.469593058366257,-4.65078734336026,-1.74341125462816,-0.0294220393211442,3.27235685844727,8.37321144017916,8.94641403284891,1.38203462925336,2.36856330758278,-2.18381533414287,-12.3952682441608,1.95614229851191,-1.62109400839743,1.01788404283782,1.41154488292301,14.4257223284346,-0.133210881440619,10.5624122979651,-2.41767511824245,2.72948688614711,-0.393590726900669,2.12234480815313,2.16510175326705,1.20953141228183,3.57838495845066,1.55536709052984,16.8256222814661,-1.92930184847439,-7.7304380286773,3.51106442751665,1.15303779977299,2.00765819919504,1.5478536651314,0.689445574184786,-6.31317700065036,-7.03197168806113,-17.2306043740045,0.956392833743703,-9.93218729637306,-2.32961407625084,-2.76540033636876
09-Jan-2020,7.39230356759675,-8.29232930145817,-4.62832057349752,-0.409296355630042,-8.67203712280525,-3.55550038667491,-3.53516210421189,-4.62490449089647,-2.2072021668679,-1.82716963080633,1.91514471106349,-6.7978696194471,-3.87318668924028,-0.796796369355406,3.36709792417042,3.30596386919478,3.73544744939336,0.576627724311809,0.743750843586693,16.8784908166357,-0.949110049819775,4.62495440683901,2.02011351728365,2.23459183598347,1.14174453479047,6.27003186996264,-3.88878551111012,2.39465441715338,-5.93111751256221,14.1308555881922,-3.38977603964269,-3.85208939889291,0.363343685658929,4.86819976610017,-4.31656903739273,-0.128306823068023,1.88064648731921,-5.1309374145893,-3.20127420908518,0.483085906805702,4.05519947414268,0.087990882180779,4.74164094186321,-1.58848607296558,-3.10443930123386,5.94662386623941,1.03064458090349,-1.29633644290805,0.367575596320768,-0.0623913059489107,-0.317902079339864
10-Jan-2020,7.59614032916902,2.45391802836373,1.43534912332513,-1.75861504716861,-4.0639096444645,6.50761745401951,1.63990902661865,4.94776507188375,2.42803641894406,5.3999869717322,7.49564064796652,-0.567314276319005,2.11850805762085,6.05464118561094,6.45703420308011,6.38757074873253,4.0314383508234,12.2499239374913,0.622817041883599,11.5815745803931,4.28400512799567,6.32295906366613,7.39772854574355,12.0762136124017,-0.100147870239424,12.6405245162672,1.99591980907366,9.31940234682707,0.694811656280072,8.38447739758857,3.30872759531963,-1.51150702702027,7.44354203354681,12.5906393831702,2.42412816210968,8.83229866472807,-0.245853489346009,0.410555027577291,6.39457288526694,6.83722640984583,10.3032037130491,8.74964374546538,8.5842289364672,-5.99235881364377,-1.68136117771023,10.3969243395628,8.35552617831079,-0.588231982071379,8.84625686503795,6.39379184228739,2.8463960179549
11-Jan-2020,-31.8958714525316,-2.64717154297087,-1.10690157204899,-18.8526403585037,-3.3350553447604,-1.76938264584752,3.39993709901493,1.80809298791325,-1.23363229146429,-1.20987216764066,-9.49653471398082,-8.98535031655716,-9.87770171427623,-16.4157023628265,-4.7088086287207,-20.9988663141761,-40.4602105344481,-8.30466533466414,-20.093960404847,-3.99836535500773,0.694438961795054,-0.927060427870333,-25.3510848407523,0.200678742133115,-27.682415078213,-42.7377287789859,-3.74663843471745,-5.15582279891278,-4.38835617711999,0.206409938044686,1.52554148787709,-6.40258031754035,0.0753561521770149,-4.04384571685107,3.75779360929102,-2.32430142022358,-24.5248149856368,-6.83417403310784,3.05201743497816,0.436378618746882,-4.24202098451359,0.290022590332125,-13.0460889935803,-7.44385136979665,-5.73697254409524,-0.860168416926733,1.77132408031276,-4.94149378940273,3.33645843504352,-19.0994571818974,-0.530989469776928
12-Jan-2020,-5.49861073164788,-6.88172488272477,-1.8890389125367,-1.74728530458772,-4.48324564119366,1.14255535554409,1.9709120354177,-1.31047210217311,-2.76386501131675,-1.10262374335321,-2.21952946397372,-14.5068262356961,-9.25851066151411,-4.98611119231683,0.385975780165381,-2.87545659745536,-3.36116274621328,1.36169436546241,1.73613490162985,-19.7188404603629,-2.67947699668155,-2.6904213119383,-12.3341733640983,-1.82541657710258,-2.13426584530766,-12.869646005427,-6.65826250941533,-8.98963626916654,-5.39011774770413,-3.22771849848688,-4.90343068282764,-6.30101832253489,-3.18678287943911,-3.28937348834903,-1.37242664059827,-0.824126858920259,-4.10587787372122,-7.74979435243047,-2.83496968096654,-5.10178037400741,-4.09676505798117,-3.77090953347828,-2.49171355257188,-3.96122446569109,-9.30182632006721,-13.1617724324502,-2.81741104698796,-11.1516358405289,-2.61000749980237,-2.90254470311821,-0.845290120315199
